Bob Dylan,Beatrice Stone
Sylvain Tesson,Marie-Claude Tesson-Millet
Alfons De Cock,Marie Clémence Pieters
John Thomas Perceval,Jane Wilson
Caesar Gezelle,Philomena De Smet
Robert Balchin, Baron Lingfield,Elizabeth Skelton
Walter Klier,Henriette Klier
Robert Grant,Jane Fraser
Roger Liddle,Elizabeth Temple
Thomas Lovell Beddoes,Anna Maria Beddoes
Frederic Maugham, 1st Viscount Maugham,Edith Mary Snell
Lionel Monckton,Maria Louisa Long
William Irving,Sarah Sanders
Jess Mariano,Liz Danes
FitzRoy Somerset, 4th Baron Raglan,Lady Ethel Ponsonby
John Randolph of Roanoke,Frances Bland
Tove Nilsen,Liv Margrete Båtnes
Alice Zimmern,Bernice Zimmern
Maarten Maartens,Cornelia van Vollenhoven
Sir Richard Hoare, 2nd Baronet,Anne Hoare
Sylvia Brownrigg,Linda Lovelace
Guy Stair Sainty,Virginia Cade Stair
Charles Wolfe,Frances Lombard
Terence Blacker,Felicity Mary Buxton
Lodewijk Van Haecke,Joanna Fockedey
Thomas Baum,Eike Baum
Henry Swinburne,Mary Bedingfield
Tim Renton, Baron Renton of Mount Harry,Eileen Doris Torr
Tristram Stuart,Deborah Mounsey
Willem Adriaan Beelaerts van Blokland,Johanna Maria Kneppelhout van Sterkenburg Beelaerts van Blokland
Clement Freud,Lucie Brasch
Charles Blount,Hester Mainwaring
Gustaaf Hendrik Flamen,Anne Marcus
Catherine Hubback,Mary Gibson
Adolf Duclos,Hortense Justine Bogaert
Wilfrid Normand, Baron Normand,Ellen Prentice
Wentworth Dillon, 4th Earl of Roscommon,Elizabeth Wentworth
Cleveland Amory,Leonore Cobb
William Strang, 1st Baron Strang,Margaret Steven
William Rathbone Greg,Hannah Lightbody
John Payne Collier,Jane Payne Collier
Paul Witteman,Johanna Cecilia Andriessen
William Wilde,Amelia Flynn
Eugene Schuyler,Matilda Scribner
Carles Riba,Adela Bracons
Sir Henry Aubrey-Fletcher, 6th Baronet,Emily Harriet Wade
Alice Berend,Hedwig Berend
Wei Shou,Cuī Shì
Increase Mather,Catherine Holt
Lorenzo Milani,Alice Milani Comparetti
Alessandra Borghese,Fabrizia Citterio
Alwine de Vos van Steenwijk,Marie Alwina Rodolphina Sophie Grafin von der Goltz
Charles Eliot Norton,Catherine Eliot
Catherine Dickens,Georgina Thomson
Henry James, Sr.,Catharine Barber
Henry James Pye,Mary James
Ferdinand Van de Putte,Maria-Elisabeth Delebecque
Hamilton Fish Armstrong,Helen Armstrong
George Baden-Powell,Henrietta Grace Smyth
Augustus Baldwin Longstreet,Hannah FitzRandolph
Maria Aurèlia Capmany,Maria Farnés Pagès
John Jay Chapman,Eleanor Jay
Bel Kaufman,Sarah Solomonovna Rabinovich
Alexandra Kwiatkowska-Viatteau,Bogina Mond
John Pierpont,Elizabeth Collins
Leonard Lodewijk De Bo,Amelia Lemayeur
Christine Jordis,Charlotte Goüin
Alexis Michalik,Pamela Hargreaves
Anne-Marie Poncet-Denis,Marthe Meurier
Amédée Lefèvre-Pontalis,Fanny Soufflot de Palotte
André Berge,Antoinette Faure
Arthur Dreyfus,Isabelle Kauffmann
Ben Macintyre,Joanna Musgrave Harvey
Antonin Lefèvre-Pontalis,Fanny Soufflot de Palotte
Honorio Maura Gamazo,Constancia Gamazo
Henry Mainwaring,Anne More
Manuel Chaves Nogales,Pilar Nogales
Solomana Kante,Diaka Keita
David Herbert,Lady Beatrice Paget
David Fordyce,Elizabeth Brown
Baron de César Bazancourt,Élisabeth d'Houdetot
Cuthbert Alport, Baron Alport,Janet McCall
Brian Urquhart,Bertha Rendall
Julia Daudet,Léonide Allard
Charles Cotton,Olive Stanhope
Charles Louis Fleury Panckoucke,Marie-Marthe-Catherine-Thérèse Couret de Villeneuve
Edward Fairfax,Dorothy Gale
Maria Graham,Ann Thomson
Elvire de Brissac,May Schneider
Emily Tennyson, Lady Tennyson,Sarah Franklin
Flora Shaw,Marie Desfontaines
Ernst Johann von Münnich,Christina Lukretia von Witzleben
Fortunato de Felice, 2nd Count Panzutti,Caterina Rossetti
Florence Moncorgé-Gabin,Christiane Fournier
Fanny Parnell,Delia Tudor Stewart Parnell
Henry Fynes Clinton,Emma Brough
Sir Henry Norman, 1st Baronet,Sarah Edna Riddington
Sir George Sitwell, 4th Baronet,Louisa Hely Hutchinson
Gérard de Sélys,Anne Farina
Yehonatan Geffen,Aviva Geffen
Bernard Villaret,Juliette Moreau
Emily Post,Josephine Price
John Godfrey Saxe,Elizabeth Saxe
Job Throckmorton,Katherine Neville
John Todhunter,Hannah Harvey
Stephen Pearl Andrews,Wealthy Ann Lathrop
Félicité Herzog,Marie-Pierre de Cossé Brissac
Francisco Solano Constancio,Joana Rita Evangelista
George Webbe Dasent,Charlotte Martha Irwin
Frederick W. Lander,Eliza West Lander
Sir Herbert Croft, 5th Baronet,Elizabeth Young
Hugh Beaver,Cerise Eyre
Jesse Louis Lasky Jr.,Bessie Lasky
Evelyn Byng, Viscountess Byng of Vimy,Janie Ralli
Marie Le Drian,Louisette Derrien
May Gibbs,Cecilia Gibbs
Marien Defalvard,Vera Defalvard
Marcel Génermont,Marie Nicolas
Maude Petre,Lady Catherine Howard Petre
Charles Edward Trevelyan, 1st Baronet,Harriet Neave
Reginald Heber,Mary Allanson
Stephanus Hanewinkel,Catharina Elisabeth Sluiter
Juliette Gordon Low,Eleanor Lytle Kinzie Gordon
Sigmund Skard,Gyda Benedikte Skard
Nathalie Petrowski,Minou Petrowski
Norma Major,Edith G. Johnson
Olivier Mathieu,Marguerite Mathieu
Tøger Seidenfaden,Lone Seidenfaden
Michel Bernanos,Jehanne Bernanos
Joseph Strutt,Elizabeth Young
Juan Antonio Mogel,Gabriela Ignazia Urkiza Aranzabal
Wang Qi,Ma Shi
Paul Dukes,Edith Mary Pope
Thierry Séchan,Solange Mériaux/Séchan
Anne Barnard,Anne Dalrymple
Victoria Bedos,Joëlle Bercot
Rowland Prothero, 1st Baron Ernle,Emma Money-Kyrle
Tonco Modderman,Elsje Derks Modderman
Sydney Thompson Dobell,Julietta Thompson
Thomas Davatz,Margaretha Davatz-Janett
Miguel Labordeta Subías,Sara Subías Bardají
Joseph Jefferson Farjeon,Margaret Jefferson
Virginie Demont-Breton,Élodie Breton
Samuel Rogers,Mary Radford
John Michell,Enid Carden
Anna Kamieńska,Maria Szypiłło
Lambert Playfair,Janet Ross
Samuel Greene Wheeler Benjamin,Mary Gladding Wheeler Benjamin
Richard Baker,Catherine Scott
Christian Kielland,Anna Kielland
Gaetano Crespi,Agnese Rusconi
George Payne,Frances Kendrick
Arthur Paget,Cecilia Wyndham
Basil Lubbock,Louisa Wallroth
William Danby,Mary Affleck
Anna Lindau,Henriette B. Müller
Arabella Weir,Alison Walker
Wendela Hebbe,Maria Lund
Antonio Gala,María Adoración Velasco Gordo
Elizabeth Hay,Elizabeth Jean Stevenson
Carlo Belli,Luigia Fait
Félix Amat de Palou i Pont,Teresa Pont i Augirot
Richard Paul Jodrell,Elizabeth Warner
Thomas Hodgkin,Elizabeth Howard
Iseabail Ní Mheic Cailéin,Isabel Stewart
Algernon Freeman-Mitford, 1st Baron Redesdale,Georgiana Ashburnham
Sidney Elphinstone, 16th Lord Elphinstone,Lady Constance Murray
Beto O'Rourke,Melissa O'Rourke
Ragna Thiis Stang,Ragna Thiis
Vladimir Talkov,Olga Talkova
Ivan Svanidze,Maria Svanidze
Ernestina Pfeffel,Carolina, Freiin von Tettenborn
William Hurrell Mallock,Margaret Froude
David Lagercrantz,Martina Ruin
Henry Hart Milman,Frances Hart
A. N. Wilson,Jean Crowder
Thomas Hanna,Winifred Hanna
Christoph Euler,Katharina Euler
Valter Heuer,Linda Põld
William Hayter,Alethea Slessor
A'Lelia Bundles,A'Lelia Mae Bundles
Adam Begley,Sally Higginson
Alethea Hayter,Alethea Slessor
Alexander Dallas,Sarah Harding
Alexander Kinloch Forbes,Ann Powell
Alexander Hamilton,Mary Robertson
Alexander McCormick Sturm,Katherine McCormick
Alexander Forbes, 4th Lord Forbes of Pitsligo,Lady Sophia Erskine
Ameena Begum,Alletta Margaret Etta Baker
Ambrose Eccles,Elizabeth Ambrose
Alice Elinor Lambert,Ella Amelia Lathrop
Alfred Cochrane,Jane Elizabeth Tomlinson
Alice Oswald,Lady Mary Keen
Ann Hatton,Sarah Ward
Arabella Pollen,Patricia Barry
Arthur Stuart-Menteth Hutchinson,Alice Annie Campbell Stuart-Menteth
Arabella Buckley,Elizabeth Burton
Anna Cabot Lowell,Lydia Jackson
Anna Eliot Ticknor,Anna Ticknor
Augusta Webster,Julia Hume
Aubrey J. O'Brien,Mary Lamb
Atholl Oakeley,Everilde Anne Beaumont
Gerald Charles Dickens,Marie Therese L. Roche
Ara Wilson,Ann Wilson
Anthony Holden,Margaret Lois Sharpe
Anne Hungerford,Mary Sidney
Anne Mackenzie,Elizabeth Forbes
Anthony Blond,Eileen Reba Nahum
Anne Somerset,Lady Caroline Thynne
Anthony Cope,Jane Spencer
Barbara, Lady Stephen,Louisa Ellen Hutchins
Benjamin Pitman,Maria Davis
Barbarina Brand,Hester Thomas
Blair Niles,Maria Gordon Pryor
Emmy Abrahamson,Urszula von Sychowski
Blanche Shoemaker Wagstaff,Blanche Quiggle
Rosa Arbman,Eva Eskilina Dillner
Marika Cobbold Hjörne,Anne Gyllenhammar
Dorita Fairlie Bruce,Katherine Elizabeth Freebairn
Joanna Briscoe,Carol Clarke
Jeanette Bonnier,Birgit Bonnier
Mary Cholmondeley,Emily Beaumont
Dorothy Wellesley, Duchess of Wellington,Lucy Gardner
Dorothy Carrington,Susan Margaret Elwes
Dorothy, Lady Pakington,Elizabeth Aldersey
Charlotte Elliott,Eling Venn
Brita Cruus af Gudhem,Katarina Oxenstierna
Louise Granberg,Jeanetta Vilhelmina Hedmansson
Eva Dyrssen,Helga Hallin
Helena Henschen,Marianne von Sydow
Helga Flatland,Elisabeth Swensen
Caroline Anne Southey,Anne Burrard
Carolina Nairne,Margaret Robertson
Randal Keynes,Anne Adrian
Jelena Zetterström,Jelena Rennerová
Dora Wordsworth,Mary Hutchinson
Caroline Wigley  Clive,Anna Maria Meysey
Bradley Winslow,Betsey Collins
Vendela Skytte,Maria Näf
Mathilda Roos,Mathilda Beata Meurk
Brian Cleeve,Josephine Eugenie Jeanne Talbot
Charles Darwin,Mary Howard
Charles Richmond Henderson,Lorana Patchin Richmond
Charles DeKay,Janet Halleck Drake
Charles Francis Meade,Caroline Georgiana Grenfell
Charles Howe,Lady Annabella Scrope
Cecil Goodden,Caroline Samuelson
Catherine Sinclair,Diana Macdonald
Catharine Sedgwick,Pamela Dwight Sedgwick
Cedric Belfrage,Frances Grace Powley
Chandos Wren-Hoskyns,Sarah Philips
Charles Cavendish Boyle,Rose Susan Alexander
Sir Christopher Bland,Jess Buchan Brodie
Charles Thornely,Jennifer Margary Scott
Christian Cavendish, Countess of Devonshire,Magdalene Clerk
Christopher Middleton,Dorothy Mary Miller
Christabel Rose Coleridge,Mary Coleridge
Eliza Ware Farrar,Elizabeth Barker Rotch
Elizabeth Colepeper,Anne Slaney
Eliza Lee Cabot Follen,Sarah Barrett
Edward Woolsey Bacon,Lucy Johnson Bacon
Edwin Markham,Elizabeth Markham
Eliza Howland,Jane Eliza Newton Woolsey
Edwin Lester Arnold,Catherine Elizabeth Biddulph
Clara Salaman,Juliet Nicholson
Clare Asquith,Marie-Thérèse Sheridan
Đặng Nhật Minh,Tôn Nữ Thị Cung
Christopher Tunnard,Madeline Kingscote
Clara Jessup Moore,Lydia Eager Mosely
Edward Ingersoll,Mary Wilcocks Ingersoll
Ellen Sturgis Hooper,Elizabeth Marston Davis
Ewart Alan Mackintosh,Lilian Rogers
David Erskine Baker,Sofia Defoe
Constance Cary Harrison,Monimia Fairfax
Edmund Goodenough,Elizabeth Ford
David Dalrymple, Lord Hailes,Lady Christian Hamilton
David Charles,Jael Bowen
Edmund Gurney,Mary Grey
Count Francis Lützow,Henriette Seymour
Frederick Townsend Martin,Anna Townsend
Frederick Apthorp Paley,Sarah Apthorp
Francis Hervé,Margaret Hervé
Francesca Alexander,Lucia Gray Swett
Helen von Kolnitz Hyer,Sarah Conover Holmes
Frederic Dan Huntington,Elizabeth Whiting Phelps
Frederick G. Williams,Ruth Williams
Frances Greville,Catherine Coote
Edward R. Pease,Susanna Fry
Edward Perry Warren,Susan Cornelia Warren
Edward Sackville-West, 5th Baron Sackville,Maude Cecelia Bell
Elizabeth Herbert, Baroness Herbert of Lea,Mary Elizabeth Catherine A’Court
Eleanor Smith,Margaret Furneaux
Edward Strutt Abdy,Mary Hayes
Eglantine Wallace,Magdalen Blair
Elizabeth Egerton,Elizabeth Basset
Elizabeth Richardson, 1st Lady Cramond,Catherine Farnham
Elizabeth Spencer, Baroness Hunsdon,Katherine Kitson
Edward Bishop Elliott,Eling Venn
Edmund Quincy,Eliza Susan Morton Quincy
Edward Leigh,Ruth Hampden
Edward Henry Bickersteth,Sarah Bignold
Edward Michell,Amelia Blair
Edward Christian,Ann Dixon
Edward Luce,Rose Nicholson
Helen Craig,Helen R. Godfrey
Ernest Bennett,Eliza Fewson
Eliot Warburton,Anne Maria Acton
Ellenor Fenn,Susanna Hatley
Frances Anne Walker Dunlop,Eleanora Agnew
F. S. Oliver,Katherine McLaren
Elizabeth Young,Audrey Marshall
Ellen Anne Hewett,Hannah Hough
George Thomas Clark,Clara Dicey
Francis Fulford,Joan Shirley Blackman
Francis Warre Warre-Cornish,Louisa Warre
George Ashburnham, 3rd Earl of Ashburnham,Elizabeth Crowley
Frances Minto Elliot,Catherine Allingham
Frances Apsley,Frances Petre
Frederick Locker-Lampson,Eleanor Mary Locker
Frederick Sadleir Brereton,Isabella Beeston
Georgiana Bloomfield, Baroness Bloomfield,Maria Susannah Simpson
Gerard Wallop, 9th Earl of Portsmouth,Marguerite Walker
Georgiana Burne-Jones,Hannah Jones
George Whyte-Melville,Catherine Osborne
George Sandys,Cecilia Wilford
Gustaf-Otto Adelborg,Jacquette De Geer
George Fitzmaurice,Winifred O'Connor
George Mills,Elizabeth Edith Ramsay
George Henry Dashwood,Sarah Lloyd
Fredrik Adelborg,Jacquette De Geer
George Clarke, 1st Baron Sydenham of Combe,Maria Frances Mayor
George Burnett Barton,Mary Louisa Whydah
George Hardinge,Jane Pratt
Henry Heylyn Hayter,Eliza Jane Heylyn
Henry James Byron,Elizabeth Josephine Bradley
Andrés Pérez,Alicia Araya
Henry Roe Cloud,Mary Wickham Roe
Henry James Coleridge,Mary Buchanan
Henry Knollys,Elizabeth St. Aubyn
Harman Grisewood,Lucille Genevieve Cardozo
Gish Jen,Agnes S. Jen
Stopford Brooke,Anna Stopford
Gulian C. Verplanck,Elizabeth Johnson
Gorges Edmond Howard,unknown daughter Jackson
Johan Celsius,Sara Edmundsdotter Figrelia
Hariot Hamilton-Temple-Blackwood, Marchioness of Dufferin and Ava,Catherine Caldwell
Henry Gamble,Juliana Palmer
Georgiana Chatterton,Harriet Gambier
Henry Corry Rowley Becher,Frances Scott
Henry Cullen,Anna Johnstone
Julio Cejador y Frauca,Ana Frauca Belaunza
Henry Codman Potter,Sarah Maria Nott
Henry W. Shoemaker,Blanche Quiggle
Björn Gottlieb,Fredrika Elisabeth Bergstedt
Hilda Vaughan,Eva Campbell
Cláudio de Araújo Lima,Branca Machado e Silva
Hermione, Countess of Ranfurly,Emily Constance Elwes
Hesketh Hesketh-Prichard,Kate Prichard
Henry St George,Elizabeth St. John
Narciso de la Escosura y Morrogh,Ana Morrogh Wolcott
James Hatley Frere,Jane Hookham
James Alexander Haldane,Katherine Duncan
James Pettit Andrews,Elizabeth Pettit
Jane Cavendish,Elizabeth Basset
Jessie Boucherett,Louisa Pigou
Janet Adam Smith,Lilian Buchanan
Jerome, 4th Count de Salis-Soglio,Anna de Salis-Soglio
Jedediah Vincent Huntington,Faith Trumbull Huntington
Jane Octavia Brookfield,Sarah Smith
Jorge Guillermo Borges Haslam,Frances Anne Haslam Arnett
Oscar von Heidenstam,Eliza Skene
Imogen Lloyd Webber,Sarah Hugill
Hugh Reginald Haweis,Mary Davies
Karl K:son Leijonhufvud,Eleonora Leijonhufvud
Katy Lederer,Rhoda S. Lederer
Laura Beatty,Lady Mary Keen
Louisa Gurney Hoare,Catherine Bell
John Considine,Carmen Pantages
John Arbuthnot,Margaret Robinson
John Fairfax,Sarah Galliard
John Davies Knatchbull Lloyd,Alice Norton Dundas
Joan Wyndham,Iris Bennett
John Clark,Ethel Margaret Jensen
John Sterling,Hester Coningham
John Smith de Burgh, 11th Earl of Clanricarde,Anne Smith
John Hookham Frere,Jane Hookham
John Hall-Stevenson,Catherine Trotter
John Lister-Kaye,Audrey Helen Carter
John Ritchie Findlay,Elizabeth Johnston
John Howard Hinton,Ann Taylor
John Warren, 3rd Baron de Tabley,Catherina Barbara de Salis
John Wilson,Margaret Sym
John William Willis-Bund,Ann Susanna Kent Bund
John Stopford, Baron Stopford of Fallowfield,Mary Tyer Johnson
John Swinton,Margaret Home
John Wilson,Isabel Wodhull
John Taylor,Margaret Meadows
Mary Frere,Catherine Arthur
Mary Hervey,Mary Brooke
Mary Hoyt Wiborg,Adaline Sherman Wiborg
Mary Monck,Laetitia Coote
Mary Anne Schimmelpenninck,Lucy Barclay
Juliet Thompson,Celeste Thompson
Mary Bowes, Countess of Strathmore and Kinghorne,Mary Gilbert
Martyn Colepeper,Cicely Barrett
Mary Bowes, Countess of Strathmore and Kinghorne,Dorothy Stephenson
Mohammad Hadi Milani,Bibi Khanum
Julian Ashton,Henrietta Rossi
Joseph Jenkins,Eleanor Davies
Julia Evelina Smith,Hannah Hadassah Hickok Smith
Joseph Hone,Bridget Anthony
Joseph Ayloffe,Mary Ayliffe
Jonathan Gathorne-Hardy,Ruth Thorowgood
Julia Cartwright Ady,Mary Fremantle
Joseph Hocking,Elizabeth Hocking
Nathaniel Beverley Tucker,Frances Bland
Reginald Palgrave,Dawson Turner
Priscilla Napier,Alethea Slessor
Liza Campbell,Cathryn Hinde
Lucy Baldwin, Countess Baldwin of Bewdley,Esther Lucy Thacker
Lucas Cleeve,Adeline Douglas
Louis Henry Scipio, Count Duroure,Henrietta Knight
Lilian Bowes Lyon,Lady Anne Lindsay
Lewis Ankeny McArthur,Harriet Kezziah Nesmith McArthur
Henry Somerset,Virginia Pattle
Leila Buckley,Rose Elsie Henniker-Heaton
Lady Henrietta Spencer-Churchill,Susan Hornby
Lepel Griffin,Frances Sophia Hunter
Flora McDonnell,Sarah Harmsworth
Thomas Hutchinson Tristram,Charlotte Jocelyn Smith
Lesbia Harford,Beatrice Eleanor Moore
Margaret Fairley,Henrietta Frances Gedge
Lyn Irvine,Lilian White
Margaret King,Caroline FitzGerald
Lucy Hutchinson,Lucy St. John
Lucy Moore,Davina Marion Chetwode
Margaret Tyndal Winthrop,Anne Egerton
Nicholas Wade,Laurien Beesley
Susan Seymour, Duchess of Somerset,Henrietta Studd
Mark Boyd,Janet Yule
Melesina Trench,Mary Elizabeth Gervais
Margot Roosevelt,Edith Kermit Roosevelt
Michael Winter,Jeanne Nanette Wellsteed
Other Windsor, 5th Earl of Plymouth,Catherine Archer
Pamela Ropner,Margaret Forbes Ronald
Orson Spencer,Chloe Spencer
Park Benjamin, Sr.,Mary Judith Gall
North Ludlow Beamish,Anne Jane Margaret Delacour
Oriel Malet,Maria Isabel Regina Aspasia de Bittencourt
Oliver St John,Helen Young
Sophie d'Arbouville,Élisabeth d'Houdetot
Thomas Hamilton,Elizabeth Stirling
Saroo Brierley,Kamla Munshi
Sarah Wentworth Apthorp Morton,Sarah Wentworth
Ruth Stiles Gannett,Mary Ross Gannett
Rodis Kanakaris-Roufos,Eleni Papageorgakopoulou
Robert Langton Douglas,Annie Johnson
Rosa Campbell Praed,Matilda Murray-Prior
Samuel Roberts,Mary Breese
Samuel Longfellow,Zilpah Wadsworth
Richard Green Parker,Anne Cutler Parker
Reginald Brabazon, 12th Earl of Meath,Harriot Brooke
Renos Apostolidis,Elpinike Zampele
Yang Rong,Liu Shi
Chevalier Rafael de Weryha-Wysoczański,Maria Fiedorowicz
Philip Marsden,Susan Penelope King
Philip Alan Womack,Marie Obradovic
Richard Paul Blakeney,Susan Maria Purdon
Mervyn Cecil ffranck Sheppard,Louisa Frances Rothwell
Moira O'Neill,Mary Macaulay Higginson
Neil Cameron, Baron Cameron of Balhousie,Isabella Stewart
Montague Gore,Harriet Little
Naomi Jacob,Nina Abbott
Peter Rawlinson, Baron Rawlinson of Ewell,Alisa Grayson
William Sinclair,Diana Macdonald
Sir David Gilmour, 4th Baronet,Caroline Montagu Douglas Scott
Sir George Wheler,Anne Hutchin
Sir Henry Percy Gordon, 2nd Baronet,Julia Isabella Levina Gordon
Sir Brook Bridges, 1st Baronet,Mary Lewen
Shen Shanbao,Wu Shiren
Sir Brooke Boothby, 6th Baronet,Phoebe Hollins
Sydney George Fisher,Jane Evans
Sir James Kay-Shuttleworth, 1st Baronet,Hannah Phillips
Stephen Henry Hobhouse,Margaret Heyworth Potter
Theodore Lyman,Lydia Williams
Henry Erskine, 10th Earl of Buchan,Frances Fairfax
Susanna Montgomery, Countess of Eglinton,Elizabeth Leslie
James Cunningham, 14th Earl of Glencairn,Elizabeth Maguire
Thomas Percy,Catherine Spencer
Tim Jeal,Norah Pasley
Sonia Melchett,Kathleen Dunbar
Sonia Mary Cole,Mary Cicely Nevill
Sir Nathaniel Wraxall, 1st Baronet,Anne Thornhill
Sir Richard Neave, 1st Baronet,Susanna Truman
Stanley Johnson,Irene Williams
Sir John Pelly, 1st Baronet,Sally Hitchen
Sir William Young, 2nd Baronet,Elizabeth Taylor
Sir Walter Roper Lawrence,Catherine Lewis
Sir Richard Kaye, 6th Baronet,Dorothy Richardson
Thomas Hinde,Ethel Constance Gladstone
Thomas Northmore,Elizabeth Osgood
Thomas Butterworth Bayley,Anne Butterworth
Thomas Coffin Amory,Mehitable Sullivan
Thomas Graham Jackson,Elizabeth Arnold
Theophilus Parsons,Elizabeth Greenleaf Parsons
Thomas Colley Grattan,Elizabeth Warren
Ward Morehouse III,Joan Marlowe
Vinson Knight,Rispah(Rizpah) Knight
Walter Wilson Greg,Julia Wilson
Walter Runciman, 1st Baron Runciman,Jean Finlay
Tristão de Alencar Araripe,Anna Triste de Alencar Araripe
Titus Billings,Esther Joyce
Walter Ramsden Fawkes,Amelia Farrer
Bernardo Vieira Ravasco,Maria de Azevedo
William John Conybeare,Sarah Anne Ranken
William Garden Blaikie,Jane Garden
William Edward Baxter,Euphemia Wilson
William Mitford,Philadelphia Reveley
William Mure,Anne Hunter Blair
William Hamilton,Elizabeth Hamilton
William Huntington,Prescindia Huntington
William Robert Spencer,Mary Beauclerk
William Hubbard,Judith Hubbard
Andrzej Waligórski,Janina Waligórska
Richard Graves,Elizabeth Morgan
Aslak Nore,Anne Kathrine Nore
Josep Maria Martí i Bonet,Rosa Bonet i Palet
Yorick Blumenfeld,Lena Citroen
William Wentworth, 2nd Earl of Strafford,Lady Arabella Holles
Francisco Pi y Arsuaga,Petra Arsuaga Goicoechea
Hua Yan,Lin Mulan
Chen Hengzhe,Zhuang Yaofu
Joaquín Calvo Sotelo,Elisa Sotelo Lafuente
Luis Valls Taberner,Marcelina Arnó Maristany
Philippa Scott,Hannah Findlay
Raimundo Nonato Pinheiro,Diana Maria Teixeira de Macêdo
Grażyna Strumiłło-Miłosz,Wanda Strumiłłowa
Lionel Strachey,Catherine Doveton
Claudine Funck-Brentano,Sophie Brentano
Eva Vrchlická,Ludmila Vrchlická
Lu Yin,Li Yuhua
Diana Aitai,Irina Aitai
Wu Kuan,Zhang Shi
Agnes Lovise Matre,Maren Matre
Karol Olgierd Borchardt,Maria Borchardt
Fangde Xie,Gui Shi
Anna Åkesson,Anna Mathilda Boije af Gennäs
Astrid Andersen,Grete Eline Kruse
Aili Somersalo,Lyydia Kustavintytär Johansson
Bernhard Pauss,Caroline Louise Salvesen
Anne Wolden-Ræthinge,Ellen Wolden Ræthinge
Richard Mořic Belcredi,Therese  Kálnoky de Köröspatak
Windham Wyndham-Quin, 4th Earl of Dunraven and Mount-Earl,Augusta Gould
Nurit Govrin,Tsivyah Kohen
Manuel de la Sota Aburto,Catalina Trinidad de Aburto y Uribe
Petter Skavlan,Kari Skavlan
Václav Wratislaw-Mitrowicz,Katharina Bieschin von Bieschin
Žiga Gombač,Metka Gombač
Meralda Warren,Mavis Mary Brown
Kristina Leganger Iversen,Anette Christine Iversen
Evan Jones,Catherine Jones
Wu-chi Liu,Zheng Peiyi
Alfred Gurney,Mary Grey
PewDiePie,Lotta Kristine Johanna
Douglas Allen Booth,Ethel Greenfield
Germaine de Rothschild,Louise Fould
Ivo Stourton,Margaret McEwen
Mary Elizabeth Hawker,Elizabeth Fraser
Jim Ede,Mildred Mary Ede
Charles Augustus Aiken,Harriet Russell Adams Aiken
Gilbert West,Mary Temple
John Hunt, Baron Hunt of Fawley,Laura Mary Buckingham
William Hughes,Bethia Hiscutt
Lodewijk de Boer,Agnes Lichtveld
Henry Lushington,Sophia Phillips
Leo Straus,Nelly Irmen
Frank J. Webb,Louisa Burr
James Thomas Flexner,Helen Thomas Flexner
Hugh de Selincourt,Theodora Bruce Bendall
Richard Tickell,Esther Pierson
Edward Strachey,Julia Woobine Kirkpatrick
Marthe Daudet,Anna Daudet
Frances Bunsen,Georgina Mary Ann Port
Hugo Money-Coutts,Patience Thompson
Gordon McDonell,Elsie Murdoch
Joan London,Bessie Maddern London
Luise Eichendorff,Karoline von Eichendorff
Louis de Caters,Marie-Isabelle Lablache
August von Bibra,Charlotte Wilhelmine Johannette Catherine von Bibra
Martha Young,Ann Eliza Ashe Tutwiler
Charles Henry Parry,Sarah Rigby
Yuan Ji,Zhang Shi
Shao Xunmei,Sheng Xihui
Wang Ao,Ye Shi
Maginel Wright Enright,Anna Lloyd Jones Wright
Halliday Sutherland,Jane MacKay
Janet Alexander,Helen Kate Shuldham
James Strachey Barnes,Winifred Strachey
Mary Palmer,Theophila Potter
Joen Sachs,Ingrid Sachs
Karl Gottfried Ritter,Julie Ritter
Chen Kui,Cheng Shi
Chen Kui,Wang Shi
Lucy Crane,Marie Kearsley
Clementina Stirling Graham,Amelia Graham
John Dickinson,Ann Grover
Emily Georgiana Kemp,Emily Lydia Kelsall
Val ffrench Blake,Doris Kathleen Tweedie
Agnes Catherine Maitland,Matilda Leathes Mortlock
Evans Bell,Elizabeth Kinnear
Mervyn Wingfield, 7th Viscount Powerscourt,Elizabeth Jocelyn
Tom Heap,Margaret Grace Gillespie Spicer
Katy Tur,Marika Gerrard
Jane Ridley,Clayre Campbell
Joseph Gurney Bevan,Hannah Gurney
Jiusi Wang,Liu Shi
Poppy Corbett,Melanie Baron
Geneviève Maury,Sophie Maury-Monnerat
Gertrude Aston Thimelby,Gertrude Sadleir
Caroline von Brandenstein,Maria Magdalena Ernestina von Brandenstein
Georg Julius von Schultz,Caroline Schultz
O. B. Hardison Jr.,Ruth Morgan
Fiona Carnarvon,Frances Farmer
Elisabeth Ralf,Anna-Beth Dahl
Gerardo Deniz,Emilia Castell Nuñez
Helen Catherine Douglas Mackenzie,Catherine Anne Griffith
Catherine Dorion,Claudette Brasseur
Caroline Ticknor,Caroline Coolidge Cushman Ticknor
Louisa Baldwin,Hannah Jones
Alice MacDonald Kipling,Hannah Jones
Eleanor Davies,Lucy Mervyn
Robert Mushet,Margaret Cochrane
Margaret Bayard Smith,Margaret Hodge
Bertha Porter,Sarah Porter
Henrietta Knight, Lady Luxborough,Angelica Magdalena Pelissary
Mary Bosanquet Fletcher,Mary Dunster
Thomas Burnet,Rachel Johnston
Frances Acton,Frances Felton
Edward Rigby,Sarah Taylor
